--- Starting Cloud Landslide Mapping Pipeline ---
Using device: cuda
Total Samples: 3799 | Train: 3229 | Val: 570

--- Computing Normalization Statistics From Training Split ---
/usr/local/lib/python3.12/dist-packages/albumentations/core/validation.py:114: UserWarning: ShiftScaleRotate is a special case of Affine transform. Please use Affine transform instead.
  original_init(self, **validated_kwargs)
Per-channel mean: tensor([ 0.4528,  0.0579,  0.0603, -0.0018,  0.0044, -0.0756, -0.0499,  0.0023,
        -0.1224, -0.0199, -0.1081, -0.1325,  0.1009, -0.0317,  0.0323, -0.1220,
         0.0998,  0.0939])
Per-channel std : tensor([1.0697, 1.0093, 0.9987, 0.9827, 0.3079, 0.9300, 0.9193, 0.9188, 0.9774,
        0.9654, 0.9822, 0.9799, 1.0713, 1.0778, 1.1288, 1.0146, 1.0545, 1.0258])
Epoch [34/65] | Train Loss: 0.2014 | Val Loss: 0.1978  IoU: 0.5865  F1: 0.7394  Precision: 0.7341  Recall: 0.7447| LR: 0.000025
Epoch [35/65] | Train Loss: 0.1997 | Val Loss: 0.1978  IoU: 0.5877  F1: 0.7403  Precision: 0.7108  Recall: 0.7724| LR: 0.000025
Epoch [36/65] | Train Loss: 0.1995 | Val Loss: 0.2010  IoU: 0.5716  F1: 0.7274  Precision: 0.6681  Recall: 0.7982| LR: 0.000025
Epoch [37/65] | Train Loss: 0.1966 | Val Loss: 0.1946  IoU: 0.5873  F1: 0.7400  Precision: 0.7202  Recall: 0.7608| LR: 0.000013
Epoch [38/65] | Train Loss: 0.1975 | Val Loss: 0.2003  IoU: 0.5860  F1: 0.7390  Precision: 0.7106  Recall: 0.7697| LR: 0.000013
Epoch [39/65] | Train Loss: 0.1971 | Val Loss: 0.1904  IoU: 0.5896  F1: 0.7418  Precision: 0.7123  Recall: 0.7738| LR: 0.000013
Epoch [40/65] | Train Loss: 0.1960 | Val Loss: 0.1934  IoU: 0.5893  F1: 0.7416  Precision: 0.7346  Recall: 0.7487| LR: 0.000013
Epoch [41/65] | Train Loss: 0.1954 | Val Loss: 0.1967  IoU: 0.5904  F1: 0.7424  Precision: 0.7331  Recall: 0.7520| LR: 0.000013
Epoch [42/65] | Train Loss: 0.2003 | Val Loss: 0.2003  IoU: 0.5834  F1: 0.7369  Precision: 0.7166  Recall: 0.7584| LR: 0.000013
Epoch [43/65] | Train Loss: 0.1978 | Val Loss: 0.1894  IoU: 0.5901  F1: 0.7422  Precision: 0.7134  Recall: 0.7734| LR: 0.000013
Epoch [44/65] | Train Loss: 0.1983 | Val Loss: 0.1902  IoU: 0.5929  F1: 0.7444  Precision: 0.7317  Recall: 0.7576| LR: 0.000013
Epoch [45/65] | Train Loss: 0.1943 | Val Loss: 0.1875  IoU: 0.5930  F1: 0.7445  Precision: 0.7147  Recall: 0.7770| LR: 0.000013
Epoch [46/65] | Train Loss: 0.1926 | Val Loss: 0.1912  IoU: 0.5937  F1: 0.7450  Precision: 0.7250  Recall: 0.7662| LR: 0.000013
Epoch [47/65] | Train Loss: 0.1945 | Val Loss: 0.1904  IoU: 0.5922  F1: 0.7439  Precision: 0.7428  Recall: 0.7450| LR: 0.000013
Epoch [48/65] | Train Loss: 0.1949 | Val Loss: 0.1913  IoU: 0.5930  F1: 0.7445  Precision: 0.7321  Recall: 0.7572| LR: 0.000013
Epoch [49/65] | Train Loss: 0.1927 | Val Loss: 0.2007  IoU: 0.5828  F1: 0.7364  Precision: 0.7019  Recall: 0.7746| LR: 0.000013
Epoch [50/65] | Train Loss: 0.1927 | Val Loss: 0.1875  IoU: 0.5944  F1: 0.7456  Precision: 0.7450  Recall: 0.7462| LR: 0.000013
Epoch [51/65] | Train Loss: 0.1933 | Val Loss: 0.1882  IoU: 0.5924  F1: 0.7441  Precision: 0.7334  Recall: 0.7550| LR: 0.000006
Epoch [52/65] | Train Loss: 0.1938 | Val Loss: 0.1894  IoU: 0.5949  F1: 0.7460  Precision: 0.7220  Recall: 0.7717| LR: 0.000006
Epoch [53/65] | Train Loss: 0.1915 | Val Loss: 0.1916  IoU: 0.5960  F1: 0.7468  Precision: 0.7323  Recall: 0.7620| LR: 0.000006
Epoch [54/65] | Train Loss: 0.1940 | Val Loss: 0.1862  IoU: 0.5970  F1: 0.7477  Precision: 0.7280  Recall: 0.7683| LR: 0.000006
Epoch [55/65] | Train Loss: 0.1886 | Val Loss: 0.1897  IoU: 0.5943  F1: 0.7455  Precision: 0.7227  Recall: 0.7699| LR: 0.000006
Epoch [56/65] | Train Loss: 0.1950 | Val Loss: 0.1911  IoU: 0.5944  F1: 0.7456  Precision: 0.7247  Recall: 0.7677| LR: 0.000006
Epoch [57/65] | Train Loss: 0.1930 | Val Loss: 0.1918  IoU: 0.5946  F1: 0.7457  Precision: 0.7262  Recall: 0.7663| LR: 0.000006
Epoch [58/65] | Train Loss: 0.1890 | Val Loss: 0.1896  IoU: 0.5961  F1: 0.7469  Precision: 0.7272  Recall: 0.7678| LR: 0.000006
Epoch [59/65] | Train Loss: 0.1914 | Val Loss: 0.1938  IoU: 0.5960  F1: 0.7469  Precision: 0.7364  Recall: 0.7576| LR: 0.000006
Epoch [60/65] | Train Loss: 0.1922 | Val Loss: 0.1896  IoU: 0.5965  F1: 0.7473  Precision: 0.7326  Recall: 0.7625| LR: 0.000003
Epoch [61/65] | Train Loss: 0.1907 | Val Loss: 0.1994  IoU: 0.5912  F1: 0.7431  Precision: 0.7355  Recall: 0.7508| LR: 0.000003
Epoch [62/65] | Train Loss: 0.1951 | Val Loss: 0.1974  IoU: 0.5923  F1: 0.7440  Precision: 0.7292  Recall: 0.7594| LR: 0.000003
Epoch [63/65] | Train Loss: 0.1921 | Val Loss: 0.1881  IoU: 0.5975  F1: 0.7480  Precision: 0.7384  Recall: 0.7579| LR: 0.000003
Epoch [64/65] | Train Loss: 0.1918 | Val Loss: 0.1936  IoU: 0.5961  F1: 0.7469  Precision: 0.7345  Recall: 0.7597| LR: 0.000003
Epoch [65/65] | Train Loss: 0.1905 | Val Loss: 0.1940  IoU: 0.5958  F1: 0.7467  Precision: 0.7469  Recall: 0.7465| LR: 0.000003

Training Complete! The best model achieved a Val F1 of 0.7467 and is saved at: /content/drive/MyDrive/best_unet_model.pth
