--- Starting Cloud Landslide Mapping Pipeline ---
Using device: cuda
Total Samples: 3799 | Train: 3229 | Val: 570

--- Computing Normalization Statistics From Training Split ---
/usr/local/lib/python3.12/dist-packages/albumentations/core/validation.py:114: UserWarning: ShiftScaleRotate is a special case of Affine transform. Please use Affine transform instead.
  original_init(self, **validated_kwargs)
Per-channel mean: tensor([ 0.0479, -0.0922,  0.1729, -0.0100,  0.0012,  0.0004, -0.1233, -0.1005,
        -0.2608, -0.2118, -0.2797, -0.2763, -0.2837, -0.1967, -0.2824, -0.2755,
         0.3185])
Per-channel std : tensor([1.1740, 1.0312, 0.9888, 0.9612, 0.3528, 0.9493, 0.9230, 0.9432, 1.1291,
        1.0505, 1.1479, 1.1364, 1.1073, 1.1119, 1.2244, 1.1816, 1.3014])
Epoch [34/65] | Train Loss: 0.2069 | Val Loss: 0.2296  IoU: 0.5515  F1: 0.7109  Precision: 0.7517  Recall: 0.6743| LR: 0.000050
Epoch [35/65] | Train Loss: 0.2099 | Val Loss: 0.1989  IoU: 0.5744  F1: 0.7297  Precision: 0.7110  Recall: 0.7494| LR: 0.000050
Epoch [36/65] | Train Loss: 0.2000 | Val Loss: 0.1956  IoU: 0.5774  F1: 0.7321  Precision: 0.7061  Recall: 0.7600| LR: 0.000050
Epoch [37/65] | Train Loss: 0.2018 | Val Loss: 0.2021  IoU: 0.5758  F1: 0.7308  Precision: 0.7122  Recall: 0.7504| LR: 0.000025
Epoch [38/65] | Train Loss: 0.1961 | Val Loss: 0.1914  IoU: 0.5790  F1: 0.7334  Precision: 0.6967  Recall: 0.7742| LR: 0.000025
Epoch [39/65] | Train Loss: 0.1920 | Val Loss: 0.1892  IoU: 0.5880  F1: 0.7406  Precision: 0.7318  Recall: 0.7495| LR: 0.000025
Epoch [40/65] | Train Loss: 0.1979 | Val Loss: 0.1898  IoU: 0.5785  F1: 0.7330  Precision: 0.7157  Recall: 0.7512| LR: 0.000025
Epoch [41/65] | Train Loss: 0.1975 | Val Loss: 0.2080  IoU: 0.5768  F1: 0.7316  Precision: 0.7304  Recall: 0.7328| LR: 0.000025
Epoch [42/65] | Train Loss: 0.1989 | Val Loss: 0.2028  IoU: 0.5819  F1: 0.7357  Precision: 0.7280  Recall: 0.7435| LR: 0.000025
Epoch [43/65] | Train Loss: 0.1960 | Val Loss: 0.2047  IoU: 0.5766  F1: 0.7315  Precision: 0.7446  Recall: 0.7188| LR: 0.000025
